network,autonomous_system_number,autonomous_system_organization
2600:6c56:7f00::/40,20115,CHARTER-20115
2600:6c56:8000::/38,20115,CHARTER-20115
2600:6c56:8400:1::/64,20115,CHARTER-20115
2600:6c56:8400:2::/63,20115,CHARTER-20115
2600:6c56:8400:4::/62,20115,CHARTER-20115
2600:6c56:8400:8::/61,20115,CHARTER-20115
2600:6c56:8400:10::/60,20115,CHARTER-20115
2600:6c56:8400:20::/59,20115,CHARTER-20115
2600:6c56:8400:40::/61,20115,CHARTER-20115
2600:6c56:8400:48::/63,20115,CHARTER-20115
2600:6c56:8400:4b::/64,20115,CHARTER-20115
2600:6c56:8400:4c::/62,20115,CHARTER-20115
2600:6c56:8400:50::/60,20115,CHARTER-20115
2600:6c56:8400:60::/59,20115,CHARTER-20115
2600:6c56:8400:80::/57,20115,CHARTER-20115
2600:6c56:8400:100::/56,20115,CHARTER-20115
2600:6c56:8400:200::/55,20115,CHARTER-20115
2600:6c56:8400:400::/54,20115,CHARTER-20115
2600:6c56:8400:800::/53,20115,CHARTER-20115
2600:6c56:8400:1000::/52,20115,CHARTER-20115
2600:6c56:8400:2000::/51,20115,CHARTER-20115
2600:6c56:8400:4000::/50,20115,CHARTER-20115
2600:6c56:8400:8000::/49,20115,CHARTER-20115
2600:6c56:8401::/48,20115,CHARTER-20115
2600:6c56:8402::/47,20115,CHARTER-20115
2600:6c56:8404::/46,20115,CHARTER-20115
2600:6c56:8408::/45,20115,CHARTER-20115
2600:6c56:8410::/44,20115,CHARTER-20115
2600:6c56:8420::/43,20115,CHARTER-20115
2600:6c56:8440::/56,20115,CHARTER-20115
2600:6c56:8440:100::/60,20115,CHARTER-20115
2600:6c56:8440:110::/63,20115,CHARTER-20115
2600:6c56:8440:113::/64,20115,CHARTER-20115
2600:6c56:8440:114::/62,20115,CHARTER-20115
2600:6c56:8440:118::/61,20115,CHARTER-20115
2600:6c56:8440:120::/59,20115,CHARTER-20115
2600:6c56:8440:140::/58,20115,CHARTER-20115
2600:6c56:8440:180::/57,20115,CHARTER-20115
2600:6c56:8440:200::/55,20115,CHARTER-20115
2600:6c56:8440:400::/54,20115,CHARTER-20115
2600:6c56:8440:800::/53,20115,CHARTER-20115
2600:6c56:8440:1000::/52,20115,CHARTER-20115
2600:6c56:8440:2000::/51,20115,CHARTER-20115
2600:6c56:8440:4000::/50,20115,CHARTER-20115
2600:6c56:8440:8000::/49,20115,CHARTER-20115
2600:6c56:8441::/48,20115,CHARTER-20115
2600:6c56:8442::/47,20115,CHARTER-20115
2600:6c56:8444::/46,20115,CHARTER-20115
2600:6c56:8448::/45,20115,CHARTER-20115
2600:6c56:8450::/44,20115,CHARTER-20115
2600:6c56:8460::/43,20115,CHARTER-20115
2600:6c56:8480::/41,20115,CHARTER-20115
2600:6c56:8500::/40,20115,CHARTER-20115
2600:6c56:8600::/39,20115,CHARTER-20115
2600:6c56:8800::/37,20115,CHARTER-20115
2600:6c56:9000::/36,20115,CHARTER-20115
2600:6c56:a000::/38,20115,CHARTER-20115
2600:6c56:a400::/63,20115,CHARTER-20115
2600:6c56:a400:2::/64,20115,CHARTER-20115
2600:6c56:a400:4::/62,20115,CHARTER-20115
2600:6c56:a400:8::/61,20115,CHARTER-20115
2600:6c56:a400:10::/60,20115,CHARTER-20115
2600:6c56:a400:20::/59,20115,CHARTER-20115
2600:6c56:a400:40::/58,20115,CHARTER-20115
2600:6c56:a400:80::/57,20115,CHARTER-20115
2600:6c56:a400:100::/56,20115,CHARTER-20115
2600:6c56:a400:200::/55,20115,CHARTER-20115
2600:6c56:a400:400::/54,20115,CHARTER-20115
2600:6c56:a400:800::/53,20115,CHARTER-20115
2600:6c56:a400:1000::/52,20115,CHARTER-20115
2600:6c56:a400:2000::/51,20115,CHARTER-20115
2600:6c56:a400:4000::/50,20115,CHARTER-20115
2600:6c56:a400:8000::/49,20115,CHARTER-20115
2600:6c56:a401::/48,20115,CHARTER-20115
2600:6c56:a402::/47,20115,CHARTER-20115
2600:6c56:a404::/46,20115,CHARTER-20115
2600:6c56:a408::/45,20115,CHARTER-20115
2600:6c56:a410::/44,20115,CHARTER-20115
2600:6c56:a420::/43,20115,CHARTER-20115
2600:6c56:a440::/42,20115,CHARTER-20115
2600:6c56:a480::/41,20115,CHARTER-20115
2600:6c56:a500::/40,20115,CHARTER-20115
2600:6c56:a600::/42,20115,CHARTER-20115
2600:6c56:a640::/60,20115,CHARTER-20115
2600:6c56:a640:10::/61,20115,CHARTER-20115
2600:6c56:a640:18::/64,20115,CHARTER-20115
2600:6c56:a640:1a::/63,20115,CHARTER-20115
2600:6c56:a640:1c::/62,20115,CHARTER-20115
2600:6c56:a640:20::/59,20115,CHARTER-20115
2600:6c56:a640:40::/58,20115,CHARTER-20115
2600:6c56:a640:80::/57,20115,CHARTER-20115
2600:6c56:a640:100::/56,20115,CHARTER-20115
2600:6c56:a640:200::/55,20115,CHARTER-20115
2600:6c56:a640:400::/54,20115,CHARTER-20115
2600:6c56:a640:800::/53,20115,CHARTER-20115
2600:6c56:a640:1000::/52,20115,CHARTER-20115
2600:6c56:a640:2000::/51,20115,CHARTER-20115
2600:6c56:a640:4000::/50,20115,CHARTER-20115
2600:6c56:a640:8000::/49,20115,CHARTER-20115
2600:6c56:a641::/48,20115,CHARTER-20115
2600:6c56:a642::/47,20115,CHARTER-20115
2600:6c56:a644::/46,20115,CHARTER-20115
2600:6c56:a648::/45,20115,CHARTER-20115
2600:6c56:a650::/44,20115,CHARTER-20115
2600:6c56:a660::/43,20115,CHARTER-20115
2600:6c56:a680::/41,20115,CHARTER-20115
2600:6c56:a700::/55,20115,CHARTER-20115
2600:6c56:a700:200::/58,20115,CHARTER-20115
2600:6c56:a700:240::/59,20115,CHARTER-20115
2600:6c56:a700:260::/60,20115,CHARTER-20115
2600:6c56:a700:270::/61,20115,CHARTER-20115
2600:6c56:a700:278::/64,20115,CHARTER-20115
2600:6c56:a700:27a::/63,20115,CHARTER-20115
2600:6c56:a700:27c::/62,20115,CHARTER-20115
2600:6c56:a700:280::/57,20115,CHARTER-20115
2600:6c56:a700:300::/56,20115,CHARTER-20115
2600:6c56:a700:400::/54,20115,CHARTER-20115
2600:6c56:a700:800::/53,20115,CHARTER-20115
2600:6c56:a700:1000::/52,20115,CHARTER-20115
2600:6c56:a700:2000::/51,20115,CHARTER-20115
2600:6c56:a700:4000::/50,20115,CHARTER-20115
2600:6c56:a700:8000::/49,20115,CHARTER-20115
2600:6c56:a701::/48,20115,CHARTER-20115
2600:6c56:a702::/47,20115,CHARTER-20115
2600:6c56:a704::/46,20115,CHARTER-20115
2600:6c56:a708::/45,20115,CHARTER-20115
2600:6c56:a710::/44,20115,CHARTER-20115
2600:6c56:a720::/43,20115,CHARTER-20115
2600:6c56:a740::/42,20115,CHARTER-20115
2600:6c56:a780::/41,20115,CHARTER-20115
2600:6c56:a800::/42,20115,CHARTER-20115
2600:6c56:a840::/58,20115,CHARTER-20115
2600:6c56:a840:40::/59,20115,CHARTER-20115
2600:6c56:a840:60::/61,20115,CHARTER-20115
2600:6c56:a840:68::/62,20115,CHARTER-20115
2600:6c56:a840:6c::/63,20115,CHARTER-20115
2600:6c56:a840:6f::/64,20115,CHARTER-20115
2600:6c56:a840:70::/60,20115,CHARTER-20115
2600:6c56:a840:80::/57,20115,CHARTER-20115
2600:6c56:a840:100::/56,20115,CHARTER-20115
2600:6c56:a840:200::/55,20115,CHARTER-20115
2600:6c56:a840:400::/54,20115,CHARTER-20115
2600:6c56:a840:800::/53,20115,CHARTER-20115
2600:6c56:a840:1000::/52,20115,CHARTER-20115
2600:6c56:a840:2000::/51,20115,CHARTER-20115
2600:6c56:a840:4000::/50,20115,CHARTER-20115
2600:6c56:a840:8000::/49,20115,CHARTER-20115
2600:6c56:a841::/48,20115,CHARTER-20115
2600:6c56:a842::/47,20115,CHARTER-20115
2600:6c56:a844::/46,20115,CHARTER-20115
2600:6c56:a848::/45,20115,CHARTER-20115
2600:6c56:a850::/44,20115,CHARTER-20115
2600:6c56:a860::/43,20115,CHARTER-20115
2600:6c56:a880::/41,20115,CHARTER-20115
2600:6c56:a900::/40,20115,CHARTER-20115
2600:6c56:aa00::/39,20115,CHARTER-20115
2600:6c56:ac00::/40,20115,CHARTER-20115
2600:6c56:ad00::/42,20115,CHARTER-20115
2600:6c56:ad40::/60,20115,CHARTER-20115
2600:6c56:ad40:10::/61,20115,CHARTER-20115
2600:6c56:ad40:18::/64,20115,CHARTER-20115
2600:6c56:ad40:1a::/63,20115,CHARTER-20115
2600:6c56:ad40:1c::/62,20115,CHARTER-20115
2600:6c56:ad40:20::/59,20115,CHARTER-20115
2600:6c56:ad40:40::/58,20115,CHARTER-20115
2600:6c56:ad40:80::/57,20115,CHARTER-20115
2600:6c56:ad40:100::/56,20115,CHARTER-20115
2600:6c56:ad40:200::/55,20115,CHARTER-20115
2600:6c56:ad40:400::/54,20115,CHARTER-20115
2600:6c56:ad40:800::/53,20115,CHARTER-20115
2600:6c56:ad40:1000::/52,20115,CHARTER-20115
2600:6c56:ad40:2000::/51,20115,CHARTER-20115
2600:6c56:ad40:4000::/50,20115,CHARTER-20115
2600:6c56:ad40:8000::/49,20115,CHARTER-20115
2600:6c56:ad41::/48,20115,CHARTER-20115
2600:6c56:ad42::/47,20115,CHARTER-20115
2600:6c56:ad44::/46,20115,CHARTER-20115
2600:6c56:ad48::/45,20115,CHARTER-20115
2600:6c56:ad50::/44,20115,CHARTER-20115
2600:6c56:ad60::/43,20115,CHARTER-20115
2600:6c56:ad80::/41,20115,CHARTER-20115
2600:6c56:ae00::/39,20115,CHARTER-20115
2600:6c56:b000::/39,20115,CHARTER-20115
2600:6c56:b200::/54,20115,CHARTER-20115
2600:6c56:b200:400::/56,20115,CHARTER-20115
2600:6c56:b200:501::/64,20115,CHARTER-20115
2600:6c56:b200:502::/63,20115,CHARTER-20115
2600:6c56:b200:504::/62,20115,CHARTER-20115
2600:6c56:b200:508::/61,20115,CHARTER-20115
2600:6c56:b200:510::/60,20115,CHARTER-20115
2600:6c56:b200:520::/59,20115,CHARTER-20115
2600:6c56:b200:540::/58,20115,CHARTER-20115
2600:6c56:b200:580::/57,20115,CHARTER-20115
2600:6c56:b200:600::/55,20115,CHARTER-20115
2600:6c56:b200:800::/53,20115,CHARTER-20115
2600:6c56:b200:1000::/52,20115,CHARTER-20115
2600:6c56:b200:2000::/51,20115,CHARTER-20115
2600:6c56:b200:4000::/50,20115,CHARTER-20115
2600:6c56:b200:8000::/49,20115,CHARTER-20115
2600:6c56:b201::/48,20115,CHARTER-20115
2600:6c56:b202::/47,20115,CHARTER-20115
2600:6c56:b204::/46,20115,CHARTER-20115
2600:6c56:b208::/45,20115,CHARTER-20115
2600:6c56:b210::/44,20115,CHARTER-20115
2600:6c56:b220::/43,20115,CHARTER-20115
2600:6c56:b240::/55,20115,CHARTER-20115
2600:6c56:b240:200::/58,20115,CHARTER-20115
2600:6c56:b240:240::/62,20115,CHARTER-20115
2600:6c56:b240:244::/63,20115,CHARTER-20115
2600:6c56:b240:247::/64,20115,CHARTER-20115
2600:6c56:b240:248::/61,20115,CHARTER-20115
2600:6c56:b240:250::/60,20115,CHARTER-20115
2600:6c56:b240:260::/59,20115,CHARTER-20115
2600:6c56:b240:280::/57,20115,CHARTER-20115
2600:6c56:b240:300::/56,20115,CHARTER-20115
2600:6c56:b240:400::/54,20115,CHARTER-20115
2600:6c56:b240:800::/53,20115,CHARTER-20115
2600:6c56:b240:1000::/52,20115,CHARTER-20115
2600:6c56:b240:2000::/51,20115,CHARTER-20115
2600:6c56:b240:4000::/50,20115,CHARTER-20115
2600:6c56:b240:8000::/49,20115,CHARTER-20115
2600:6c56:b241::/48,20115,CHARTER-20115
2600:6c56:b242::/47,20115,CHARTER-20115
2600:6c56:b244::/46,20115,CHARTER-20115
2600:6c56:b248::/45,20115,CHARTER-20115
2600:6c56:b250::/44,20115,CHARTER-20115
2600:6c56:b260::/43,20115,CHARTER-20115
2600:6c56:b280::/42,20115,CHARTER-20115
2600:6c56:b2c0::/43,20115,CHARTER-20115
2600:6c56:b2e0::/44,20115,CHARTER-20115
2600:6c56:b2f0::/49,20115,CHARTER-20115
2600:6c56:b2f0:8000::/52,20115,CHARTER-20115
2600:6c56:b2f0:9000::/54,20115,CHARTER-20115
2600:6c56:b2f0:9400::/58,20115,CHARTER-20115
2600:6c56:b2f0:9440::/59,20115,CHARTER-20115
2600:6c56:b2f0:9461::/64,20115,CHARTER-20115
2600:6c56:b2f0:9462::/63,20115,CHARTER-20115
2600:6c56:b2f0:9464::/62,20115,CHARTER-20115
2600:6c56:b2f0:9468::/61,20115,CHARTER-20115
2600:6c56:b2f0:9470::/60,20115,CHARTER-20115
2600:6c56:b2f0:9480::/57,20115,CHARTER-20115
2600:6c56:b2f0:9500::/56,20115,CHARTER-20115
2600:6c56:b2f0:9600::/55,20115,CHARTER-20115
2600:6c56:b2f0:9800::/53,20115,CHARTER-20115
2600:6c56:b2f0:a000::/51,20115,CHARTER-20115
2600:6c56:b2f0:c000::/50,20115,CHARTER-20115
2600:6c56:b2f1::/48,20115,CHARTER-20115
2600:6c56:b2f2::/47,20115,CHARTER-20115
2600:6c56:b2f4::/46,20115,CHARTER-20115
2600:6c56:b2f8::/45,20115,CHARTER-20115
2600:6c56:b300::/40,20115,CHARTER-20115
2600:6c56:b400::/41,20115,CHARTER-20115
2600:6c56:b480::/42,20115,CHARTER-20115
2600:6c56:b4c0::/43,20115,CHARTER-20115
2600:6c56:b4e0::/44,20115,CHARTER-20115
2600:6c56:b4f0::/51,20115,CHARTER-20115
2600:6c56:b4f0:2000::/54,20115,CHARTER-20115
2600:6c56:b4f0:2400::/55,20115,CHARTER-20115
2600:6c56:b4f0:2600::/56,20115,CHARTER-20115
2600:6c56:b4f0:2700::/57,20115,CHARTER-20115
2600:6c56:b4f0:2781::/64,20115,CHARTER-20115
2600:6c56:b4f0:2782::/63,20115,CHARTER-20115
2600:6c56:b4f0:2784::/62,20115,CHARTER-20115
2600:6c56:b4f0:2788::/61,20115,CHARTER-20115
2600:6c56:b4f0:2790::/60,20115,CHARTER-20115
2600:6c56:b4f0:27a0::/59,20115,CHARTER-20115
2600:6c56:b4f0:27c0::/58,20115,CHARTER-20115
2600:6c56:b4f0:2800::/53,20115,CHARTER-20115
2600:6c56:b4f0:3000::/52,20115,CHARTER-20115
2600:6c56:b4f0:4000::/50,20115,CHARTER-20115
2600:6c56:b4f0:8000::/49,20115,CHARTER-20115
2600:6c56:b4f1::/48,20115,CHARTER-20115
2600:6c56:b4f2::/47,20115,CHARTER-20115
2600:6c56:b4f4::/46,20115,CHARTER-20115
2600:6c56:b4f8::/45,20115,CHARTER-20115
2600:6c56:b500::/40,20115,CHARTER-20115
2600:6c56:b600::/39,20115,CHARTER-20115
2600:6c56:b800::/38,20115,CHARTER-20115
2600:6c56:bc00::/39,20115,CHARTER-20115
2600:6c56:be00::/60,20115,CHARTER-20115
2600:6c56:be00:10::/61,20115,CHARTER-20115
2600:6c56:be00:18::/63,20115,CHARTER-20115
2600:6c56:be00:1a::/64,20115,CHARTER-20115
2600:6c56:be00:1c::/62,20115,CHARTER-20115
2600:6c56:be00:20::/59,20115,CHARTER-20115
2600:6c56:be00:40::/58,20115,CHARTER-20115
2600:6c56:be00:80::/57,20115,CHARTER-20115
2600:6c56:be00:100::/56,20115,CHARTER-20115
2600:6c56:be00:200::/55,20115,CHARTER-20115
2600:6c56:be00:400::/54,20115,CHARTER-20115
2600:6c56:be00:800::/53,20115,CHARTER-20115
2600:6c56:be00:1000::/52,20115,CHARTER-20115
2600:6c56:be00:2000::/51,20115,CHARTER-20115
2600:6c56:be00:4000::/50,20115,CHARTER-20115
2600:6c56:be00:8000::/49,20115,CHARTER-20115
2600:6c56:be01::/48,20115,CHARTER-20115
2600:6c56:be02::/47,20115,CHARTER-20115
2600:6c56:be04::/46,20115,CHARTER-20115
2600:6c56:be08::/45,20115,CHARTER-20115
2600:6c56:be10::/44,20115,CHARTER-20115
2600:6c56:be20::/43,20115,CHARTER-20115
2600:6c56:be40::/42,20115,CHARTER-20115
2600:6c56:be80::/41,20115,CHARTER-20115
2600:6c56:bf00::/40,20115,CHARTER-20115
2600:6c56:c000::/34,20115,CHARTER-20115
2600:6c58::/32,20115,CHARTER-20115
2600:6c5a::/32,20115,CHARTER-20115
2600:6c5c::/34,20115,CHARTER-20115
2600:6c5c:4000::/36,20115,CHARTER-20115
2600:6c5c:5000::/37,20115,CHARTER-20115
2600:6c5c:5800::/38,20115,CHARTER-20115
2600:6c5c:5c00::/41,20115,CHARTER-20115
2600:6c5c:5c80::/42,20115,CHARTER-20115
2600:6c5c:5cc0::/43,20115,CHARTER-20115
2600:6c5c:5ce0::/44,20115,CHARTER-20115
2600:6c5c:5cf0::/49,20115,CHARTER-20115
2600:6c5c:5cf0:8000::/51,20115,CHARTER-20115
2600:6c5c:5cf0:a000::/52,20115,CHARTER-20115
2600:6c5c:5cf0:b000::/53,20115,CHARTER-20115
2600:6c5c:5cf0:b800::/56,20115,CHARTER-20115
2600:6c5c:5cf0:b900::/58,20115,CHARTER-20115
2600:6c5c:5cf0:b941::/64,20115,CHARTER-20115
2600:6c5c:5cf0:b942::/63,20115,CHARTER-20115
2600:6c5c:5cf0:b944::/62,20115,CHARTER-20115
2600:6c5c:5cf0:b948::/61,20115,CHARTER-20115
2600:6c5c:5cf0:b950::/60,20115,CHARTER-20115
2600:6c5c:5cf0:b960::/59,20115,CHARTER-20115
2600:6c5c:5cf0:b980::/57,20115,CHARTER-20115
2600:6c5c:5cf0:ba00::/55,20115,CHARTER-20115
2600:6c5c:5cf0:bc00::/54,20115,CHARTER-20115
2600:6c5c:5cf0:c000::/50,20115,CHARTER-20115
2600:6c5c:5cf1::/48,20115,CHARTER-20115
2600:6c5c:5cf2::/47,20115,CHARTER-20115
2600:6c5c:5cf4::/46,20115,CHARTER-20115
2600:6c5c:5cf8::/45,20115,CHARTER-20115
2600:6c5c:5d00::/40,20115,CHARTER-20115
2600:6c5c:5e00::/40,20115,CHARTER-20115
2600:6c5c:5f00::/43,20115,CHARTER-20115
2600:6c5c:5f20::/44,20115,CHARTER-20115
2600:6c5c:5f30::/45,20115,CHARTER-20115
2600:6c5c:5f38::/46,20115,CHARTER-20115
2600:6c5c:5f3c::/47,20115,CHARTER-20115
2600:6c5c:5f3e::/48,20115,CHARTER-20115
2600:6c5c:5f3f::/49,20115,CHARTER-20115
2600:6c5c:5f3f:8000::/50,20115,CHARTER-20115
2600:6c5c:5f3f:c000::/52,20115,CHARTER-20115
2600:6c5c:5f3f:d000::/57,20115,CHARTER-20115
2600:6c5c:5f3f:d080::/59,20115,CHARTER-20115
2600:6c5c:5f3f:d0a0::/60,20115,CHARTER-20115
2600:6c5c:5f3f:d0b0::/62,20115,CHARTER-20115
2600:6c5c:5f3f:d0b4::/63,20115,CHARTER-20115
2600:6c5c:5f3f:d0b7::/64,20115,CHARTER-20115
2600:6c5c:5f3f:d0b8::/61,20115,CHARTER-20115
2600:6c5c:5f3f:d0c0::/58,20115,CHARTER-20115
2600:6c5c:5f3f:d100::/56,20115,CHARTER-20115
2600:6c5c:5f3f:d200::/55,20115,CHARTER-20115
2600:6c5c:5f3f:d400::/54,20115,CHARTER-20115
2600:6c5c:5f3f:d800::/53,20115,CHARTER-20115
2600:6c5c:5f3f:e000::/51,20115,CHARTER-20115
2600:6c5c:5f40::/42,20115,CHARTER-20115
2600:6c5c:5f80::/42,20115,CHARTER-20115
2600:6c5c:5fc0::/43,20115,CHARTER-20115
2600:6c5c:5fe0::/44,20115,CHARTER-20115
2600:6c5c:5ff0::/50,20115,CHARTER-20115
2600:6c5c:5ff0:4000::/53,20115,CHARTER-20115
2600:6c5c:5ff0:4800::/54,20115,CHARTER-20115
2600:6c5c:5ff0:4c00::/55,20115,CHARTER-20115
2600:6c5c:5ff0:4e00::/57,20115,CHARTER-20115
2600:6c5c:5ff0:4e80::/58,20115,CHARTER-20115
2600:6c5c:5ff0:4ec0::/59,20115,CHARTER-20115
2600:6c5c:5ff0:4ee0::/60,20115,CHARTER-20115
2600:6c5c:5ff0:4ef1::/64,20115,CHARTER-20115
2600:6c5c:5ff0:4ef2::/63,20115,CHARTER-20115
2600:6c5c:5ff0:4ef4::/62,20115,CHARTER-20115
2600:6c5c:5ff0:4ef8::/61,20115,CHARTER-20115
2600:6c5c:5ff0:4f00::/56,20115,CHARTER-20115
2600:6c5c:5ff0:5000::/52,20115,CHARTER-20115
2600:6c5c:5ff0:6000::/51,20115,CHARTER-20115
2600:6c5c:5ff0:8000::/49,20115,CHARTER-20115
2600:6c5c:5ff1::/48,20115,CHARTER-20115
2600:6c5c:5ff2::/47,20115,CHARTER-20115
2600:6c5c:5ff4::/46,20115,CHARTER-20115
2600:6c5c:5ff8::/45,20115,CHARTER-20115
2600:6c5c:6000::/53,20115,CHARTER-20115
2600:6c5c:6000:800::/54,20115,CHARTER-20115
2600:6c5c:6000:c00::/57,20115,CHARTER-20115
2600:6c5c:6000:c80::/62,20115,CHARTER-20115
2600:6c5c:6000:c84::/64,20115,CHARTER-20115
2600:6c5c:6000:c86::/63,20115,CHARTER-20115
2600:6c5c:6000:c88::/61,20115,CHARTER-20115
2600:6c5c:6000:c90::/60,20115,CHARTER-20115
2600:6c5c:6000:ca0::/59,20115,CHARTER-20115
2600:6c5c:6000:cc0::/58,20115,CHARTER-20115
2600:6c5c:6000:d00::/56,20115,CHARTER-20115
2600:6c5c:6000:e00::/55,20115,CHARTER-20115
2600:6c5c:6000:1000::/52,20115,CHARTER-20115
2600:6c5c:6000:2000::/51,20115,CHARTER-20115
2600:6c5c:6000:4000::/50,20115,CHARTER-20115
2600:6c5c:6000:8000::/49,20115,CHARTER-20115
2600:6c5c:6001::/48,20115,CHARTER-20115
2600:6c5c:6002::/47,20115,CHARTER-20115
2600:6c5c:6004::/46,20115,CHARTER-20115
2600:6c5c:6008::/45,20115,CHARTER-20115
2600:6c5c:6010::/44,20115,CHARTER-20115
2600:6c5c:6020::/43,20115,CHARTER-20115
2600:6c5c:6040::/42,20115,CHARTER-20115
2600:6c5c:6080::/41,20115,CHARTER-20115
2600:6c5c:6100::/40,20115,CHARTER-20115
2600:6c5c:6200::/39,20115,CHARTER-20115
2600:6c5c:6400::/38,20115,CHARTER-20115
2600:6c5c:6800::/38,20115,CHARTER-20115
2600:6c5c:6c00::/55,20115,CHARTER-20115
2600:6c5c:6c00:200::/57,20115,CHARTER-20115
2600:6c5c:6c00:280::/59,20115,CHARTER-20115
2600:6c5c:6c00:2a0::/61,20115,CHARTER-20115
2600:6c5c:6c00:2a8::/62,20115,CHARTER-20115
2600:6c5c:6c00:2ad::/64,20115,CHARTER-20115
2600:6c5c:6c00:2ae::/63,20115,CHARTER-20115
2600:6c5c:6c00:2b0::/60,20115,CHARTER-20115
2600:6c5c:6c00:2c0::/58,20115,CHARTER-20115
2600:6c5c:6c00:300::/56,20115,CHARTER-20115
2600:6c5c:6c00:400::/54,20115,CHARTER-20115
2600:6c5c:6c00:800::/53,20115,CHARTER-20115
2600:6c5c:6c00:1000::/52,20115,CHARTER-20115
2600:6c5c:6c00:2000::/51,20115,CHARTER-20115
2600:6c5c:6c00:4000::/50,20115,CHARTER-20115
2600:6c5c:6c00:8000::/49,20115,CHARTER-20115
2600:6c5c:6c01::/48,20115,CHARTER-20115
2600:6c5c:6c02::/47,20115,CHARTER-20115
2600:6c5c:6c04::/46,20115,CHARTER-20115
2600:6c5c:6c08::/45,20115,CHARTER-20115
2600:6c5c:6c10::/44,20115,CHARTER-20115
2600:6c5c:6c20::/43,20115,CHARTER-20115
2600:6c5c:6c40::/42,20115,CHARTER-20115
2600:6c5c:6c80::/41,20115,CHARTER-20115
2600:6c5c:6d00::/41,20115,CHARTER-20115
2600:6c5c:6d80::/42,20115,CHARTER-20115
2600:6c5c:6dc0::/43,20115,CHARTER-20115
2600:6c5c:6de0::/44,20115,CHARTER-20115
2600:6c5c:6df0::/54,20115,CHARTER-20115
2600:6c5c:6df0:400::/55,20115,CHARTER-20115
2600:6c5c:6df0:600::/56,20115,CHARTER-20115
2600:6c5c:6df0:700::/59,20115,CHARTER-20115
2600:6c5c:6df0:720::/60,20115,CHARTER-20115
2600:6c5c:6df0:731::/64,20115,CHARTER-20115
2600:6c5c:6df0:732::/63,20115,CHARTER-20115
2600:6c5c:6df0:734::/62,20115,CHARTER-20115
2600:6c5c:6df0:738::/61,20115,CHARTER-20115
2600:6c5c:6df0:740::/58,20115,CHARTER-20115
2600:6c5c:6df0:780::/57,20115,CHARTER-20115
2600:6c5c:6df0:800::/53,20115,CHARTER-20115
2600:6c5c:6df0:1000::/52,20115,CHARTER-20115
2600:6c5c:6df0:2000::/51,20115,CHARTER-20115
2600:6c5c:6df0:4000::/50,20115,CHARTER-20115
2600:6c5c:6df0:8000::/50,20115,CHARTER-20115
2600:6c5c:6df0:c000::/51,20115,CHARTER-20115
2600:6c5c:6df0:e000::/56,20115,CHARTER-20115
2600:6c5c:6df0:e100::/57,20115,CHARTER-20115
2600:6c5c:6df0:e181::/64,20115,CHARTER-20115
2600:6c5c:6df0:e182::/63,20115,CHARTER-20115
2600:6c5c:6df0:e184::/62,20115,CHARTER-20115
2600:6c5c:6df0:e188::/61,20115,CHARTER-20115
2600:6c5c:6df0:e190::/60,20115,CHARTER-20115
2600:6c5c:6df0:e1a0::/59,20115,CHARTER-20115
2600:6c5c:6df0:e1c0::/58,20115,CHARTER-20115
2600:6c5c:6df0:e200::/55,20115,CHARTER-20115
2600:6c5c:6df0:e400::/54,20115,CHARTER-20115
2600:6c5c:6df0:e800::/53,20115,CHARTER-20115
2600:6c5c:6df0:f000::/52,20115,CHARTER-20115
2600:6c5c:6df1::/48,20115,CHARTER-20115
2600:6c5c:6df2::/47,20115,CHARTER-20115
2600:6c5c:6df4::/46,20115,CHARTER-20115
2600:6c5c:6df8::/45,20115,CHARTER-20115
2600:6c5c:6e00::/41,20115,CHARTER-20115
2600:6c5c:6e80::/42,20115,CHARTER-20115
2600:6c5c:6ec0::/43,20115,CHARTER-20115
2600:6c5c:6ee0::/44,20115,CHARTER-20115
2600:6c5c:6ef0::/50,20115,CHARTER-20115
2600:6c5c:6ef0:4000::/54,20115,CHARTER-20115
2600:6c5c:6ef0:4400::/55,20115,CHARTER-20115
2600:6c5c:6ef0:4600::/56,20115,CHARTER-20115
2600:6c5c:6ef0:4700::/57,20115,CHARTER-20115
2600:6c5c:6ef0:4780::/58,20115,CHARTER-20115
2600:6c5c:6ef0:47c0::/59,20115,CHARTER-20115
2600:6c5c:6ef0:47e1::/64,20115,CHARTER-20115
2600:6c5c:6ef0:47e2::/63,20115,CHARTER-20115
2600:6c5c:6ef0:47e4::/62,20115,CHARTER-20115
2600:6c5c:6ef0:47e8::/61,20115,CHARTER-20115
2600:6c5c:6ef0:47f0::/60,20115,CHARTER-20115
2600:6c5c:6ef0:4800::/53,20115,CHARTER-20115
2600:6c5c:6ef0:5000::/52,20115,CHARTER-20115
2600:6c5c:6ef0:6000::/51,20115,CHARTER-20115
2600:6c5c:6ef0:8000::/49,20115,CHARTER-20115
2600:6c5c:6ef1::/48,20115,CHARTER-20115
2600:6c5c:6ef2::/47,20115,CHARTER-20115
2600:6c5c:6ef4::/46,20115,CHARTER-20115
2600:6c5c:6ef8::/45,20115,CHARTER-20115
2600:6c5c:6f00::/43,20115,CHARTER-20115
2600:6c5c:6f20::/44,20115,CHARTER-20115
2600:6c5c:6f30::/45,20115,CHARTER-20115
2600:6c5c:6f38::/46,20115,CHARTER-20115
2600:6c5c:6f3c::/47,20115,CHARTER-20115
2600:6c5c:6f3e::/48,20115,CHARTER-20115
